name,dates,lang,exam_date,return_date,link,days_inbetween,reporter,semester,comment,Column
Numerical Methods in Informatics (L+E),01/07/2020 10:00 → 01/23/2020 11:20,en,"Jan 7, 2020 10:00 AM","Jan 23, 2020 11:20 AM",https://bestande.ch/uzh/50792084/chat,16,anonymous0,20192,,"Jan 23, 2020 12:05 PM"
Personal Branding and Digital Marketing,01/14/2020 18:00 → 01/23/2020 12:01,de,"Jan 14, 2020 6:00 PM","Jan 23, 2020 12:01 PM",https://bestande.ch/uzh/50956674/chat,8,shizzles,20192,,"Jan 23, 2020 12:07 PM"
Corporate Finance,01/07/2020 10:00 → 01/23/2020 13:43,de,"Jan 7, 2020 10:00 AM","Jan 23, 2020 1:43 PM",https://bestande.ch/uzh/50044544/chat,16,Friedrich Engels,20192,,"Jan 23, 2020 12:13 PM"
Market-Consistent Valuation (L),01/08/2020 9:45 → 01/24/2020 16:35,en,"Jan 8, 2020 9:45 AM","Jan 24, 2020 4:35 PM",https://bestande.ch/uzh/50940629/chat,16,@bQm,20192,,"Jan 23, 2020 1:44 PM"
BIO 220 Linear models in R: from LM to GLMM,12/20/2019 17:00 → 01/24/2020 13:20,en,"Dec 20, 2019 5:00 PM","Jan 24, 2020 1:20 PM",https://bestande.ch/uzh/50961374/timetable,34,merkur12,20192,,"Jan 24, 2020 5:28 PM"
BWL III,12/19/2018 17:30 → 01/31/2019 7:00,de,"Dec 19, 2018 5:30 PM","Jan 31, 2019 7:00 AM",https://bestande.ch/uzh/50046381/chat,42,agglozürcher,20182,,"Jan 24, 2020 5:30 PM"
Asset Management,01/14/2020 18:00 → 01/24/2020 17:31,de,"Jan 14, 2020 6:00 PM","Jan 24, 2020 5:31 PM",https://bestande.ch/uzh/50722922/chat,9,Arrekusu,20192,,"Jan 24, 2020 5:32 PM"
BWL III,12/18/2019 17:30 → 01/27/2020 8:10,de,"Dec 18, 2019 5:30 PM","Jan 27, 2020 8:10 AM",https://bestande.ch/uzh/50046381/chat,39,Asvzmaster6,20192,,"Jan 24, 2020 5:35 PM"
A primer in Entrepreneurship,12/16/2019 13:45 → 01/27/2020 10:28,de,"Dec 16, 2019 1:45 PM","Jan 27, 2020 10:28 AM",https://bestande.ch/uzh/50427958/chat,41,VorlesungsEnthusiast7,20192,,"Jan 28, 2020 8:59 PM"
GEO 231 Physical Geography III,01/07/2020 10:00 → 01/27/2020 17:08,de,"Jan 7, 2020 10:00 AM","Jan 27, 2020 5:08 PM",https://bestande.ch/uzh/50740249,20,asvzbanana16,20192,,"Jan 28, 2020 9:10 PM"
GEO 111 Physical Geography I,01/06/2020 11:00 → 01/27/2020 17:51,de,"Jan 6, 2020 11:00 AM","Jan 27, 2020 5:51 PM",https://bestande.ch/uzh/50738686/timetable,21,bibliothekstar3,20192,,"Jan 28, 2020 9:12 PM"
Financial Accounting,12/20/2019 13:00 → 01/28/2020 8:17,de,"Dec 20, 2019 1:00 PM","Jan 28, 2020 8:17 AM",https://bestande.ch/uzh/50038001/chat,38,kooler boomer,20192,,"Jan 28, 2020 9:14 PM"
Informatik und Wirtschaft,12/17/2019 16:00 → 01/28/2020 8:20,de,"Dec 17, 2019 4:00 PM","Jan 28, 2020 8:20 AM",https://bestande.ch/uzh/50792030/chat,41,MensaBoy0,20192,,"Jan 28, 2020 9:20 PM"
Mikroökonomik I,12/19/2019 16:00 → 01/28/2020 8:22,de,"Dec 19, 2019 4:00 PM","Jan 28, 2020 8:22 AM",https://bestande.ch/uzh/50038002/stats,39,Lena1999,20192,,"Jan 28, 2020 9:21 PM"
Umwelt- und Ressourcenökonomik,01/09/2020 9:45 → 01/28/2020 13:16,de,"Jan 9, 2020 9:45 AM","Jan 28, 2020 1:16 PM",https://bestande.ch/uzh/50019498/chat,19,Friedrich Engels,20192,,"Jan 28, 2020 9:23 PM"
Aktuelle Probleme der Schweizer Wirtschaftspolitik,01/15/2020 18:00 → 01/28/2020 13:41,de,"Jan 15, 2020 6:00 PM","Jan 28, 2020 1:41 PM",https://bestande.ch/uzh/50691194/chat,12,Polymaster9,20192,,"Jan 28, 2020 9:26 PM"
Geschichte - Erinnerung - Gegenwart,12/17/2019 15:45 → 01/28/2020 15:14,de,"Dec 17, 2019 3:45 PM","Jan 28, 2020 3:14 PM",https://bestande.ch/uzh/50960950/chat,41,babedibup,20192,,"Jan 28, 2020 9:27 PM"
From Strategy to Image - the Secrets of Successful Brand Communication,12/19/2019 18:00 → 01/28/2020 16:24,de,"Dec 19, 2019 6:00 PM","Jan 28, 2020 4:24 PM",https://bestande.ch/uzh/50960510/chat,39,philoDoktor13,20192,,"Jan 28, 2020 9:28 PM"
Banking (VU),01/08/2020 16:00 → 01/28/2020 17:32,de,"Jan 8, 2020 4:00 PM","Jan 28, 2020 5:32 PM",https://bestande.ch/uzh/50618040/chat,20,Arrekusu,20192,,"Jan 28, 2020 9:34 PM"
